,,,,,,,
"COUNTY
_CODE","
COUNTY_NAME",CONST_ CODE,"
CONSTITUENCY_NAME",CAW_ CODE,"
CAW_NAME","
VOTERS",NO. OF POLLING STATIONS
1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,17082,26
1,MOMBASA,1,CHANGAMWE,2,KIPEVU,13608,22
1,MOMBASA,1,CHANGAMWE,3,AIRPORT,16606,26
1,MOMBASA,1,CHANGAMWE,4,CHANGAMWE,17586,29
1,MOMBASA,1,CHANGAMWE,5,CHAANI,21449,33
1,MOMBASA,2,JOMVU,6,JOMVU KUU,22269,36
1,MOMBASA,2,JOMVU,7,MIRITINI,16899,27
1,MOMBASA,2,JOMVU,8,MIKINDANI,30139,46
1,MOMBASA,3,KISAUNI,9,MJAMBERE,22384,34
1,MOMBASA,3,KISAUNI,10,JUNDA,23979,37
1,MOMBASA,3,KISAUNI,11,BAMBURI,17685,28
1,MOMBASA,3,KISAUNI,12,MWAKIRUNGE,4946,9
1,MOMBASA,3,KISAUNI,13,MTOPANGA,17539,28
1,MOMBASA,3,KISAUNI,14,MAGOGONI,14846,23
1,MOMBASA,3,KISAUNI,15,SHANZU,24772,39
1,MOMBASA,4,NYALI,16,FRERE TOWN,20215,33
1,MOMBASA,4,NYALI,17,ZIWA LA NG'OMBE,20747,31
1,MOMBASA,4,NYALI,18,MKOMANI,19669,31
1,MOMBASA,4,NYALI,19,KONGOWEA,24457,38
1,MOMBASA,4,NYALI,20,KADZANDANI,18929,32
1,MOMBASA,5,LIKONI,21,MTONGWE,13149,23
1,MOMBASA,5,LIKONI,22,SHIKA ADABU,13089,21
1,MOMBASA,5,LIKONI,23,BOFU,18060,28
1,MOMBASA,5,LIKONI,24,LIKONI,10855,17
,,,,,,,
1,MOMBASA,5,LIKONI,25,TIMBWANI,32173,51
1,MOMBASA,6,MVITA,26,MJI WA KALE/MAKADARA,19927,34
1,MOMBASA,6,MVITA,27,TUDOR,20380,35
1,MOMBASA,6,MVITA,28,TONONOKA,21055,36
1,MOMBASA,6,MVITA,29,SHIMANZI/GANJONI,17312,33
1,MOMBASA,6,MVITA,30,MAJENGO,28417,48
2,KWALE,7,MSAMBWENI,31,GOMBATO BONGWE,17538,31
2,KWALE,7,MSAMBWENI,32,UKUNDA,21500,34
2,KWALE,7,MSAMBWENI,33,KINONDO,11014,21
2,KWALE,7,MSAMBWENI,34,RAMISI,18569,43
2,KWALE,8,LUNGALUNGA,35,PONGWE/KIKONENI,16068,34
2,KWALE,8,LUNGALUNGA,36,DZOMBO,13282,26
2,KWALE,8,LUNGALUNGA,37,MWERENI,13010,29
2,KWALE,8,LUNGALUNGA,38,VANGA,14588,29
2,KWALE,9,MATUGA,39,TSIMBA GOLINI,17507,40
2,KWALE,9,MATUGA,40,WAA,17085,32
2,KWALE,9,MATUGA,41,TIWI,9478,21
2,KWALE,9,MATUGA,42,KUBO SOUTH,10657,26
2,KWALE,9,MATUGA,43,MKONGANI,15639,34
2,KWALE,10,KINANGO,44,NDAVAYA,10783,29
2,KWALE,10,KINANGO,45,PUMA,8504,27
2,KWALE,10,KINANGO,46,KINANGO,13620,32
2,KWALE,10,KINANGO,47,MACKINNON ROAD,12483,30
2,KWALE,10,KINANGO,48,CHENGONI/SAMBURU,13124,28
2,KWALE,10,KINANGO,49,MWAVUMBO,13773,34
2,KWALE,10,KINANGO,50,KASEMENI,12819,32
